Statistics for file: Hamlet.txt
  There are a total of 32110 words in the file.
  Of those, 47 were ignored, leaving 32063 words to process.
  After processing, there are 4825 distinct words in the file

Statistics for file: KingLear.txt
  There are a total of 27818 words in the file.
  Of those, 15 were ignored, leaving 27803 words to process.
  After processing, there are 4191 distinct words in the file

The are 2051 common words in files Hamlet.txt and KingLear.txt.
The common words are:
    Word      Hamlet.txt    KingLear.txt
estate              3              1
even               24             13
event               2              1
ever               14             20
every               8             14
evidence            1              1
evil                3              4
exact               1              1
excellent          10              2
exchange            2              3
exeunt             37             34
exit               40             45
expense             1              1
exploit             1              1
express             3              2
extremity           2              2
eye                15             12
eyes               23             37
face               11             11
faces               2              2
fain                4              4
fair               21             10
faith              16              5
fall                9              7
fall'n              3              4
falls               8              5
false               6              8
familiar            1              1
fancy               3              2
far                11             13
fare                6              9
fares               2              2
farewell           17             11
fashion             8              3
fast                5              2
father             53             64
father's           18              9
fathers             2              4
fault               5              7
faults              3              3
favour              4              5
favours             2              1
fear               21             16
fear'd              1              1
fearful             1              2
fears               2              1
feather             1              1
feathers            1              1
feature             2              1
fed                 2              1
fee                 3              1
feel                1             11
feeling             3              3
feelingly           1              1
feet                2              2
fell                9              4
fellow             10             28
fellow's            1              1
fellows             3              3
fellowship          2              1
fetch               2              4
few                 3              1
fie                 5              7
field               1              4
fiends              1              1
fierce              1              4
fiery               3              4
fifty               1              4
fight               4              5
figure              5              1
filial              1              1
film                1              1
find               17             17
find'st             1              1
finding             3              1
finds               3              4
fine               10              2
fire               12             15
fires               1              2
firm                1              1
firmament           1              1
first              20             24
fish                2              1
fit                12             11
fitness             1              1
five                3             10
fix'd               3              3
flame               2              1
flames              2              1
flashes             1              1
flat                3              1
flatter             1              1
flatter'd           1              1
flattering          1              1
flesh               5             10
flies               1              1
flourish            8              3
flowers             3              2
fly                 5              6
foh                 1              1
follow             21             15
follow'd            1              6
followers           1              3
follows             4              5
folly               1              3
fond                1              3
food                2              6
fool                7            119
foolish             3              4
fools               2              7
foot                3              6
footed              1              3
for               250            154
forbear             1              3
forbid              2              2
force               3              1
fore                1              1
foreign             1              1
forget              4              2
forgive             2              3
forgiveness         1              2
forgot              5              2
form               13              2
former              3              1
forth               6             13
fortune            11             15
fortune's           5              3
fortunes            2              6
forty               2              1
forward             3              1
fought              1              1
foul               11             15
found               5             12
four                5              1
fox                 1              3
frame               4              2
france              5             31
free               11              5
french              5              2
fret                1              1
fretful             1              1
friend             14             19
friends            20              9
friendship          1              2
from               95             94
front               1              1
fruitful            1              1
full               11             13
further            12             11
gain                2              1
